READ_CODE,DESCRIPTION,VERSION
Yal1g,Absent work/schl due to asthma ...  ... ,3
Y1084,Allergic asthma ...  ... ,3
Y108E,Pollen asthma ...  ... ,3
Y108G,Non-allergic asthma ...  ... ,3
Y108K,Intrinsic asthma + attack ... Intrinsic asthma with asthma attack ... ,3
Y108R,Detergent asthma ...  ... ,3
Y108S,Baker's asthma ...  ... ,3
Y108l,Acute severe asthma ...  ... ,3
Ya3Xw,EIA - Exercise-induced asthma ...  ... ,3
YaknY,Asthma never causes day symps ...  ... ,3
YaknZ,Asthma day symp 1-2 per week ...  ... ,3
Ya3Lr,Exacerbation of asthma ...  ... ,3
Yam1U,Except asthma qual ind: Pt uns ...  ... ,3
Yam1W,Excep asthma qual ind: Inf dis ...  ... ,3
Y107w,Childhood asthma ...  ... ,3
YaW13,Asthma control step 1 ...  ... ,3
YaW16,Asthma control step 4 ...  ... ,3
YMH4l,Asthma attack NOS ...  ... ,3
YaVzG,Asthma control steps ...  ... ,3
YaXzJ,Asthma leaflet given ...  ... ,3
YMLE1,FH: asthma ...  ... ,3
YaY1n,Occasional asthma ...  ... ,3
YE0T6,(Intrinsic asthma) or (late ++ ... (Intrinsic asthma) or (late onset asthma) ... ,3
YE0T8,(Severe asthma attack) or (s++ ... (Severe asthma attack) or (status asthmaticus NOS) ... ,3
H3120,Chronic asthmatic bronchitis ...  ... ,2
H330.,Extrinsic (atopic) asthma ...  ... ,2
H3310,Intrinsic asthma - no status ... Intrinsic asthma without status asthmaticus ... ,2
H3311,Intrinsic asthma + status ... Intrinsic asthma with status asthmaticus ... ,2
H335.,Chron asthm w fix airflw obstr ... Chronic asthma with fixed airflow obstruction ... ,2
8794.,Asthma control step 1 ...  ... ,2
663j.,Asthma - currently active ...  ... ,2
663N.,Asthma disturbing sleep ...  ... ,2
663V1,Mild asthma ...  ... ,2
66YC.,Absent work/schl due to asthma ... Absent from work or school due to asthma ... ,2
173A.,Exercise induced asthma ...  ... ,2
YaaR6,Emerg asthm adm since lst appt ... Emergency asthma admission since last appointment ... ,3
YaW14,Asthma control step 2 ...  ... ,3
YaW1r,Asthma control step 0 ...  ... ,3
Yaleb,Asthma confirmed ...  ... ,3
YaknX,Asthma night symp 1-2 per mth ...  ... ,3
Yakna,Asthma daytime symps most days ...  ... ,3
Yan3c,Does not have asthma man plan ...  ... ,3
YE0T9,Asthma attack (& NOS) ...  ... ,3
YE0Tg,Asthma: [NOS] or [attack] ...  ... ,3
Yam0Y,Except report: asthma qual ind ...  ... ,3
Yakgq,Asth treat compliance unsatisf ... Asthma treatment compliance unsatisfactory ... ,3
Yakgr,Asthma daytime symptoms ...  ... ,3
Yae2E,Asthma - currently dormant ...  ... ,3
Y7A06,Asthma not disturbing sleep ...  ... ,3
Yay77,Sevr asthma exacer risk assess ... Severe asthma exacerbation risk assessment ... ,3
Yab9V,Asthma causing night waking ...  ... ,3
Y1089,Allergic asthma NEC ...  ... ,3
Y108I,Intrinsic asthma - no status ... Intrinsic asthma without status asthmaticus ... ,3
Y108J,Intrinsic asthma + status ... Intrinsic asthma with status asthmaticus ... ,3
Y108b,Factitious asthma ...  ... ,3
Y108k,Status asthmaticus ...  ... ,3
Y108m,Status asthmaticus NOS ...  ... ,3
Y1094,Asthmatic pulm eosinophilia ... Asthmatic pulmonary eosinophilia ... ,3
Y1081,Exercise induced asthma ...  ... ,3
Yauto,Num dy abs sch asthma pst 6 mn ... Number days absent from school due to asthma in past 6 month ... Number of days absent from school due to asthma in past 6 months,3
Yae2D,Asthma - currently active ...  ... ,3
YaY1o,Mild asthma ...  ... ,3
9NNX.,Under care asthma spclst nurse ... Under care of asthma specialist nurse ... ,2
8H2P.,"Emergency admission, asthma ...  ... ",2
y0EsH,Sodium cromoglicate [asthma] ...  ... ,3
YMImq,Severe asthma attack ...  ... ,3
663h.,Asthma - currently dormant ...  ... ,2
663n.,Asth treat compliance satisfac ... Asthma treatment compliance satisfactory ... ,2
663p.,Asth treat compliance unsatisf ... Asthma treatment compliance unsatisfactory ... ,2
663q.,Asthma daytime symptoms ...  ... ,2
663y.,Num asthm exacs in past year ... Number of asthma exacerbations in past year ... ,2
c51q.,*TAUMASTHMAN tablets ...  ... ,2
8791.,Further asthma - drug prevent. ...  ... ,2
8CE2.,Asthma leaflet given ...  ... ,2
8CMA0,Pat writt asthma pers act plan ... Patient has a written asthma personal action plan ... ,2
H33z.,Asthma unspecified ...  ... ,2
H33z1,Asthma attack ...  ... ,2
173d.,Work aggravated asthma ...  ... ,2
38B8.,Sevr asthma exacer risk assess ... Severe asthma exacerbation risk assessment ... ,2
Yatjz,Pat writt asthma pers act plan ... Patient has a written asthma personal action plan ... ,3
Y79X6,Further asthma - drug prevent. ...  ... ,3
YauNB,RCP asth assess 3 quest score ... Royal College Physician asthma assessment 3 question score ... Royal College of Physicians asthma assessment three questions score,3
YaY1p,Moderate asthma ...  ... ,3
y08Cl,Sodium cromoglycate [asthma] ...  ... ,3
Yakmj,Num asthm exacs in past year ... Number of asthma exacerbations in past year ... ,3
Yaknk,Asthma day symp 1-2 per mth ...  ... ,3
YabXR,Late-onset asthma ...  ... ,3
YaW17,Asthma control step 5 ...  ... ,3
Y1086,Extrinsic asthma + status ... Extrinsic asthma with status asthmaticus ... ,3
Y108C,Hay fever with asthma ...  ... ,3
Y108H,Intrinsic asthma ...  ... ,3
Y108L,Intrinsic asthma NOS ...  ... ,3
Y108M,Drug-induced asthma ...  ... ,3
Y108N,ASA with nasal polyps ... Aspirin-sensitive asthma with nasal polyps ... ,3
Y108Q,Industrial asthma ...  ... ,3
Y108T,Colophony asthma ...  ... ,3
Y108g,Chronic asthmatic bronchitis ...  ... ,3
Yakp4,Asthma finding ...  ... ,3
YaksM,Absent work/schl due to asthma ... Absent from work or school due to asthma ... ,3
Ya01q,FH: Asthma ...  ... ,3
Yakgp,Asth treat compliance satisfac ... Asthma treatment compliance satisfactory ... ,3
y07wK,Corticosteroids used in asthma ... Corticosteroids used in the treatment of asthma ... ,3
YE0T3,Asthma: [extrins - atop][all++ ... Asthma: [extrins - atop][allerg][pollen][childh][+ hay fev] ... Asthma: [extrinsic - atopic] or [allergic] or [pollen] or [childhood] or [with hay fever],3
YE0TA,(Asthma:[exerc ind][allerg N++ ... (Asthma:[exerc ind][allerg NEC][NOS]) or (allerg bronch NEC) ... (Asthma: [exercise induced] or [allergic NEC] or [NOS]) or (allergic bronchitis NEC),3
YMH4k,LOA - late onset asthma ...  ... ,3
YalO5,Asthma night-time symptoms ...  ... ,3
Yaxjq,Asthma-COPD overlap syndrome ... Asthma-chronic obstructive pulmonary disease overlap syndrom ... Asthma-chronic obstructive pulmonary disease overlap syndrome,3
Y79hf,"Emergency admission, asthma ...  ... ",3
YMKmt,Emergency admission asthma ...  ... ,3
c71..,SODIUM CROMOGLICATE [ASTHMA] ...  ... ,2
388t0,RCP asth assess 3 quest score ... Royal College Physician asthma assessment 3 question score ... Royal College of Physicians asthma assessment three questions score,2
H35y6,Sequoiosis (red-cedar asthma) ...  ... ,2
H35y7,Wood asthma ...  ... ,2
H3B..,Asthma-COPD overlap syndrome ... Asthma-chronic obstructive pulmonary disease overlap syndrom ... Asthma-chronic obstructive pulmonary disease overlap syndrome,2
8795.,Asthma control step 2 ...  ... ,2
8797.,Asthma control step 4 ...  ... ,2
8798.,Asthma control step 5 ...  ... ,2
H331z,Intrinsic asthma NOS ...  ... ,2
H332.,Mixed asthma ...  ... ,2
38DV.,Mini asthma QOL questionnaire ... Mini asthma quality of life questionnaire ... ,2
663O.,Asthma not disturbing sleep ...  ... ,2
663V3,Severe asthma ...  ... ,2
12D2.,FH: Asthma ...  ... ,2
YE0T7,Intrins asthma with: [asthma++ ... Intrins asthma with: [asthma attack] or [status asthmaticus] ... Intrinsic asthma with: [asthma attack] or [status asthmaticus],3
YaYk2,Acute asthma ...  ... ,3
YMGVz,Asthmatic ...  ... ,3
Yany0,Work aggravated asthma ...  ... ,3
YMKTZ,Asthma - exercise induced ...  ... ,3
Y107p,Asthma ...  ... ,3
Y107q,Bronchial asthma ...  ... ,3
Y107y,Asthma unspecified ...  ... ,3
Y1080,Asthma NOS ...  ... ,3
YM1gM,Asthma attack ...  ... ,3
YMFVN,Brittle asthma ...  ... ,3
YMJPu,Extrinsic asthma - atopy ...  ... ,3
YamDZ,Aspirin induced asthma ...  ... ,3
Yayzu,Moderate acut exacrbatn asthma ... Moderate acute exacerbation of asthma ... ,3
YE0Tf,Asthma: [intrinsic] or [late++ ... Asthma: [intrinsic] or [late onset] ... ,3
Yabcj,Asthma never restrcts exercise ...  ... ,3
Yaqbj,RCP asthma assessment ... RCP (Royal College of Physicians) asthma assessment ... ,3
YaY1q,Severe asthma ...  ... ,3
YMAjI,Mixed asthma ...  ... ,3
Y1087,Extrinsic asthma + attack ... Extrinsic asthma with asthma attack ... ,3
Y1088,Extrinsic asthma NOS ...  ... ,3
Y108A,Allergic atopic asthma ...  ... ,3
Y108B,Extrinsic (atopic) asthma ...  ... ,3
Y108F,Allergic non-atopic asthma ...  ... ,3
Y108U,Grain worker's asthma ...  ... ,3
H3300,Extrinsic asthma - no status ... Extrinsic asthma without status asthmaticus ... ,2
H3301,Extrinsic asthma + status ... Extrinsic asthma with status asthmaticus ... ,2
H331.,Intrinsic asthma ...  ... ,2
H33zz,Asthma NOS ...  ... ,2
H47y0,Detergent asthma ...  ... ,2
66YP.,Asthma night-time symptoms ...  ... ,2
66Yu.,Num dy abs sch asthma pst 6 mn ... Number days absent from school due to asthma in past 6 month ... Number of days absent from school due to asthma in past 6 months,2
8793.,Asthma control step 0 ...  ... ,2
8796.,Asthma control step 3 ...  ... ,2
1780.,Aspirin induced asthma ...  ... ,2
663V2,Moderate asthma ...  ... ,2
