"READ_CODE","DESCRIPTION","VERSION"
y0Goa,Influenza vac(SV) syrg 0.25mL ... Inact Influenza vacc (split virion) prefilled syringe 0.25mL ... Inactivated Influenza vaccine (split virion) prefilled syringe 0.25mL,"3"
YMBNa,"[X]Inhalatn food at unsp place ... [X]Inhal+ingest food caus obst resp tract occ unspecif place ... [X]Inhalation and ingestion of food causing obstruction of respiratory tract, occurrence at unspecified place","3"
YMBNe,"[X]Inhalat of object pub inst ... [X]Inhl+ingst oth obj obs resp trct sch oth ins/pub adm area ... [X]Inhalation and ingestion of other objects causing obstruction of respiratory tract, occurrence at school, other institution and public administrative area","3"
YMBNf,"[X]Inhalat of object sport ar ... [X]Inhal+ingest oth obj caus obst resp tract sport/athl area ... [X]Inhalation and ingestion of other objects causing obstruction of respiratory tract, occurrence at sports and athletics area","3"
YMBNh,"[X]Inhalat of object trade ar ... [X]Inhal+ingest oth obj caus obst resp tract trade/serv area ... [X]Inhalation and ingestion of other objects causing obstruction of respiratory tract, occurrence at trade and service area","3"
YMBNj,"[X]Inhalat of object on farm ... [X]Inhalatn+ingestn oth obj causng obstr resp tract occ farm ... [X]Inhalation and ingestion of other objects causing obstruction of respiratory tract, occurrence on farm","3"
Ya3zF,Injury lower respiratory tract ... Injury of lower respiratory tract ... ,"3"
YabWp,Enceph due to influ-virus id ... Encephalitis due to influenza-virus identified ... ,"3"
y07jh,FLU - Influenza vaccine ...  ... ,"3"
YSH3y,Diagn proced low respir tract ... Diagnostic procedure on lower respiratory tract ... ,"3"
YarxA,"Inf A, oth or untyp strain det ... Influenza A virus, other or untyped strain detected ... ","3"
YaxcD,SARS virus RNA detection assay ... SARS virus ribonucleic acid detection assay ... Severe acute respiratory syndrome virus ribonucleic acid detection assay,"3"
Yaxbs,Parainfluenz 1 RNA dtctn assay ... Parainfluenza virus type 1 ribonucleic acid detection assay ... ,"3"
y09ku,Hib/diph/tet/pertussis vaccine ... Hib/diphtheria/tetanus/pertussis vaccine ... Haemophilus influenzae Type b (Hib)/diphtheria/tetanus/pertussis vaccine,"3"
Y10G3,Acute toxic bronchitis ...  ... ,"3"
YMH4d,Influenza-like illness ...  ... ,"3"
Yal4k,Parainfluenza type 2 ab level ... Parainfluenza type 2 antibody level ... ,"3"
YacTo,Influenza imm advised in surg ... Influenza immunisation advised in surgery ... ,"3"
YatLv,H/O: acute low resp tract inf ... History of acute lower respiratory tract infection ... ,"3"
YaeJz,Neonatal resp tract haemorrhge ... Neonatal respiratory tract haemorrhage ... ,"3"
Yal8K,Parainfluenza virus ab level ...  ... ,"3"
YapsJ,D f e e l res t b cy l l res t ... Diag fib end exam low resp tr and brush cyto les low resp tr ... Diagnostic fibreoptic endoscopic examination of lower respiratory tract and brush cytology of lesion of lower respiratory tract,"3"
Yavii,H/O: acut typ I resprtry failr ... History of acute type I respiratory failure ... ,"3"
Yavim,H/O: acut typ II resprtry falr ... History of acute type II respiratory failure ... ,"3"
YaqeQ,"Booster DTaP/IPV/Hib vacc ... Booster diphth tet ac pertus, haem influ b, inac polio vacc ... Booster diphtheria tetanus and five component acellular pertussis, haemophilus influenzae type b, inactivated polio vaccination","3"
YE0oh,Meningitis: [acute aseptic] ++ ... Meningitis: [acute aseptic] or [viral NOS] ... ,"3"
YSCFP,Respiratory tract rehabilitat ... Respiratory tract rehabilitation procedure ... ,"3"
Yatna,Hi priorty for flu A H1N1 vacc ... High priority for influenza A subtype H1N1 vaccination ... ,"3"
YacuA,Has influenza vacc at hospital ... Has influenza vaccination at hospital ... ,"3"
YacuB,Has influenza vacc at surgery ... Has influenza vaccination at surgery ... ,"3"
YacuC,Has influenza vaccinat at home ... Has influenza vaccination at home ... ,"3"
YMK5k,Subacute bacter.endocardit-SBE ... Subacute bacterial endocarditis - SBE ... ,"3"
YMK6G,Acut bronch due coxsackievirus ... Acute bronchitis due to coxsackievirus ... ,"3"
YMK6i,Pneumonia - parainfluen.virus ... Pneumonia due to parainfluenza virus ... ,"3"
YazCA,"DTaP, IPV, Hib, and hep B vacc ... DTaP, IPV, Hib, and hep B vaccination ... Diphtheria, tetanus and acellular pertussis, inactivated polio, Haemophilus influenzae type b and hepatitis B vaccination","3"
YazI2,"3rd DTaP, IP, Hib hp B vcc dcl ... Third DTaP, inactivated polio, Hib and hep B vacc declined ... Third diphtheria, tetanus and acellular pertussis, inactivated polio, Haemophilus influenzae type b and hepatitis B vaccination declined","3"
YazCB,"1st DTaP, IPV, Hib, hep B vacc ... First DTaP, IPV, Hib, and hep B vaccination ... First diphtheria, tetanus and acellular pertussis, inactivated polio, Haemophilus influenzae type b and hepatitis B vaccination","3"
YazCE,"DTaP, IPV, Hib hep B vacc decl ... DTaP, IPV, Hib and hep B vacc declined ... Diphtheria, tetanus and acellular pertussis, inactivated polio, Haemophilus influenzae type b and hepatitis B vaccination declined","3"
Y74bo,For.obj.in nose+resp.obst.NOS ... Foreign object in nose causing respiratory obstruction NOS ... Foreign object in nose causing obstruction of respiratory tract NOS,"3"
Yauvn,Sepsis Haemophilus influenzae ... Sepsis due to Haemophilus influenzae ... ,"3"
Y50fo,"ANOTHER - Alop/nail/ophth/thyr ... ANOTHER - Alop/nail/ophthal/thyroid/hypohid/ephelides/entero ... ANOTHER - Alopecia, nail dystrophy, ophthalmic complications, thyroid dysfunction, hypohidrosis, ephelides, enteropathy and respiratory tract infections","3"
YE16M,Influenza immunization advis++ ... Influenza immunization advised (& [in surgery]) ... ,"3"
YatFR,Advice Influenza A type H1N1 ... Advice given about Influenza A virus subtype H1N1 infection ... ,"3"
YMLSN,Influenza + encephalopathy ...  ... ,"3"
Y71H6,Haemophilus influenzae infect. ... Haemophilus influenzae infection ... ,"3"
YawSQ,Adm sec intrnsl pndmc infl vac ... Administration of second intranasal pandemic influenza vacc ... Administration of second intranasal pandemic influenza vaccination,"3"
YSOio,Parainfluenza virus ag assay ... Parainfluenza virus antigen assay ... ,"3"
F030A,Enceph due to influ-virus id ... Encephalitis due to influenza-virus identified ... ,"2"
G510.,Acute/subac.bacter.endocardit. ... Acute and subacute bacterial endocarditis ... ,"2"
G510z,Acute/subac.bact.endocard.NOS ... Acute and subacute bacterial endocarditis NOS ... ,"2"
YMAin,Ac bronch/mycoplasma pneumonia ... Acute bronchitis due to mycoplasma pneumoniae ... ,"3"
YMAio,Acute coxsackievir bronchitis ... Acute coxsackievirus bronchitis ... ,"3"
YMAiu,Ac bronchiol/oth spcfd organsm ... Acute bronchiolitis due to other specified organisms ... ,"3"
YSWYY,Operat lower respiratory tract ... Operation on lower respiratory tract ... ,"3"
Yam2J,Influenza vaccin not indicated ... Influenza vaccination not indicated ... ,"3"
Yayq9,Sc inct snl flu vcc gv by phrm ... Second inactivated seasonal influenza vacc gvn by pharmacist ... Second inactivated seasonal influenza vaccination given by pharmacist,"3"
Y103E,Influenza + bronchopneumonia ... Influenza with bronchopneumonia ... ,"3"
YaVOl,Upper resp tract observations ... Upper respiratory tract observations ... ,"3"
YaVPT,Lower resp tract obs ... Lower respiratory tract observations ... ,"3"
Ya5Jf,Acute infec exacerbation COAD ... Acute infective exacerbation chronic obstruct airway disease ... Acute infective exacerbation of chronic obstructive airways disease,"3"
"8CAR.",Advice Influenza A type H1N1 ... Advice given about Influenza A virus subtype H1N1 infection ... ,"2"
"65b1.","2nd Hib/meningitis C vaccinatn ... Second Haemophilus influenzae type B/meningitis C vaccinatn ... Second Haemophilus influenzae type B and meningitis C vaccination","2"
"65E21","1st int ssn flu vcc gv oth hcp ... First intranasal seasonal flu vacc gvn by othr hlthcare prov ... First intranasal seasonal influenza vaccination given by other healthcare provider","2"
H2y..,Pneumonia or influenza OS ... Other specified pneumonia or influenza ... ,"2"
H463.,Other acute chemical resp.dis. ... Other acute respiratory diseases due to chemical fumes ... ,"2"
"1J72.",Suspct flu A vi sub H1N1 infct ... Suspected influenza A virus subtype H1N1 infection ... ,"2"
"1W0..",Possible influenza A vir H1N1 ... Possible influenza A virus H1N1 subtype ... ,"2"
"9OX57","2nd intrnsl pndm flu vcc dclnd ... Second intranasal pandemic influenza vaccination declined ... ","2"
"9OX70",Influenza vacc 1st phone invit ... Influenza vaccination first telephone invitation ... ,"2"
"9OXB.",Influen vaccn inv 3rd let sent ... Influenza vaccination invitation third letter sent ... ,"2"
"9OXD1",Influenza vacc 2nd verb invitn ... Influenza vaccination second verbal invitation ... ,"2"
"9OXE0",Influenza vac invita 1st email ... Influenza vaccination invitation first email ... ,"2"
A3C30,Sepsis Haemophilus influenzae ... Sepsis due to Haemophilus influenzae ... ,"2"
Y101F,Acute viral bronchitis ...  ... ,"3"
Y101y,Haemophilus influenz pneumonia ... Haemophilus influenzae pneumonia ... ,"3"
Y21Nn,Acute viral sialadenitis ...  ... ,"3"
Y103p,Influenza + other resp.manif. ... Influenza with other respiratory manifestation ... ,"3"
Y00Aq,Acute viral encephalitis ...  ... ,"3"
YaSDm,Acc haemph influ TypB vac pois ... Accidental haemophilus influenzae Type B vaccine poisoning ... ,"3"
y017Q,Inact Influenza vac syrg 0.5mL ... Inactivated Influenza vaccine prefilled syringe 0.5mL ... ,"3"
y017R,Influenza vaccine Vials 5mL ...  ... ,"3"
y017S,Influenza vaccine Vials 25mL ...  ... ,"3"
YMAcE,[X]Burn oth parts resp tract ... [X]Burn of other parts of respiratory tract ... ,"3"
YMAcF,[X]Corros oth part resp tract ... [X]Corrosions of other parts of respiratory tract ... ,"3"
YanE9,"DTaP/IPV/Hib vaccination ... Dipht tetanus acell pertus, haem influ b, inactiv polio vacc ... Diphtheria tetanus and five component acellular pertussis, haemophilus influenzae type b, inactivated polio vaccination","3"
y0EQu,Influenza vac(SV) syrg 0.5mL ... Inact Influenza vacc (split virion) prefilled syringe 0.5mL ... Inactivated Influenza vaccine (split virion) prefilled syringe 0.5mL,"3"
Yac5n,Cineradiography - respir tract ... Cineradiography - respiratory tract ... ,"3"
YascW,Influenza vacc othr hlth prov ... Influenza vaccination given by other healthcare provider ... ,"3"
YasZe,Pandemic flu vaccinatn declind ... Pandemic influenza vaccination declined ... ,"3"
Y02WK,Acute bacterial tonsillitis ...  ... ,"3"
YaVfF,Acute bacterial pericarditis ...  ... ,"3"
YaoSU,First pandemic flu vaccination ... First pandemic influenza vaccination ... ,"3"
"9OX..",Influenza vacc. administratn. ...  ... ,"2"
"9OX50",Influenza A H1N1 vaccin declin ... Influenza A virus subtype H1N1 vaccination declined ... ,"2"
A3841,Haemophilus infl. septicaemia ... Haemophilus influenzae septicaemia ... ,"2"
A3B5.,Haemophilus influenzae infect. ... Haemophilus influenzae infection ... ,"2"
"68NE.",No consent - influenza imm. ...  ... ,"2"
"74595",Expect ind sput frm resp tract ... Expectoration of induced sputum from respiratory tract ... ,"2"
"8I2d.",Pandemic flu vacc contraindicd ... Pandemic influenza vaccination contraindicated ... ,"2"
"8IAY.","DTaP/IPV/Hib immunisa declined ... DTaP/IPV/Hib immunisation declined ... Diphtheria, tetanus, acellular pertussis, inactivated polio vaccine, haemophilus influenzae type b immunisation declined","2"
Byu22,"[X]Mal neo/up resp trct,p unsp ... [X]Malignant neoplasm/upper resp tract, part unspecified ... [X]Malignant neoplasm of upper respiratory tract, part unspecified","2"
"43wG.",Parainflnza grp RNA dtctn assy ... Parainfluenza group RNA (ribonucleic acid) detection assay ... ,"2"
"9k7..",Influenza imm - enh serv admin ... Influenza immunisation - enhanced services administration ... Influenza immunisation for those in the 65 years and over and other at risk groups - enhanced services administration,"2"
J6001,Acute hepatitis-noninfective ... Acute hepatitis - noninfective ... ,"2"
"9N4q0",DNA flu A vir subtyp H1N1 vacc ... Did not attend influenza A virus subtype H1N1 vaccination ... ,"2"
"65E7.",CN - 1 fluA (H1N1v)09 va ot pr ... CELVAPAN - 1st flu A (H1N1v) 2009 vacc by othr hlth provider ... CELVAPAN - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider,"2"
"65ED1",Adm frst intrnsl ssnl infl vac ... Administration of first intranasal seasonal influenza vacc ... Administration of first intranasal seasonal influenza vaccination,"2"
"65ED8",Fst inct snl flu vcc gv by phr ... First inactivated seasonal influenza vacc gvn by pharmacist ... First inactivated seasonal influenza vaccination given by pharmacist,"2"
"65ED9",Sc inct snl flu vcc gv by phrm ... Second inactivated seasonal influenza vacc gvn by pharmacist ... Second inactivated seasonal influenza vaccination given by pharmacist,"2"
"65MQ.","Booster DTaP/IPV/Hib vaccin ... Booster diph tet ac pertussis, haem influ b, inac polio vacc ... Booster diphtheria tetanus and three component acellular pertussis, haemophilus influenzae type b, inactivated polio vaccination","2"
"7N2..",[SO]Respiratory tract & mouth ... [SO]Respiratory tract and mouth ... ,"2"
"7N2z.",[SO]Resp tract and mouth NOS ... [SO]Respiratory tract and mouth NOS ... ,"2"
Hyu04,"[X]Flu+o rsp manif,flu v idntf ... [X]Flu+oth respiratory manifestations,'flu virus identified ... [X]Influenza with other respiratory manifestations, influenza virus identified","2"
Hyu11,[X]Ac bronchltis/o spcf orgnsm ... [X]Acute bronchiolitis due to other specified organisms ... ,"2"
H0230,Acute pneumococcal pharyngitis ...  ... ,"2"
H040w,Acute viral laryngitis unspec. ... Acute viral laryngitis unspecified ... ,"2"
H054.,Recurrent URTI ... Recurrent upper respiratory tract infection ... ,"2"
H0601,Acute membranous bronchitis ...  ... ,"2"
H0603,Acute purulent bronchitis ...  ... ,"2"
H0608,Acute H.influenzae bronchitis ... Acute haemophilus influenzae bronchitis ... ,"2"
H0609,Acute neiss.catarrh.bronchitis ... Acute neisseria catarrhalis bronchitis ... ,"2"
H060A,Ac bronch/mycoplasma pneumonia ... Acute bronchitis due to mycoplasma pneumoniae ... ,"2"
H060E,Acute bronchitis/rhinovirus ... Acute bronchitis due to rhinovirus ... ,"2"
H0615,Ac bronchiol/resp syncytal vir ... Acute bronchiolitis due to respiratory syncytial virus ... ,"2"
H06z.,Acute bronchitis/bronchiol.NOS ... Acute bronchitis or bronchiolitis NOS ... ,"2"
H271.,Influenza + other resp.manif. ... Influenza with other respiratory manifestation ... ,"2"
H27y0,Influenza + encephalopathy ... Influenza with encephalopathy ... ,"2"
H27z.,Influenza NOS ...  ... ,"2"
n4n5.,*HAEMOPHILUS INF Type b syrng ... HAEMOPHILUS INFLUENZAE Type b 10micrograms vacc syringe+dil ... HAEMOPHILUS INFLUENZAE Type b 10micrograms vaccine syringe+diluent,"2"
n4p2.,*HIB/DIPH/TET/PERTUS vial+syrg ... HIB/DIPHTHERIA/TETANUS/PERTUSSIS vial+prefilled syringe ... HAEMOPHILUS INFLUENZAE TYPE b (Hib)/DIPHTHERIA/TETANUS/PERTUSSIS vaccine vial+prefilled syringe,"2"
n479.,*INFLUENZA VACCINE vials 5mL ...  ... ,"2"
n47B.,*CELVAPAN FLU VAC (H1N1v) 2009 ... CELVAPAN INFLUENZA A VACCINE (H1N1v) 2009 injection ... ,"2"
n47E.,INFLUENZA VAC nasal susp 0.2mL ... INFLUENZA VACCINE (LIVE ATTENUATED) nasal suspension 0.2mL ... ,"2"
n47q.,INFLUE VACC 15mcg/strain 0.1mL ... INACT INFLUENZA VACC (SPLIT VIRION) 15mcg/strain pfs 0.1mL ... ,"2"
Ayu3U,"[X]Haemphilus 'flu infct,unspc ... [X]Haemophilus influenzae infection, unspecified ... ","2"
"43jn0",SARS virus NADA ... SARS virus nucleic acid detection assay ... Severe acute respiratory syndrome virus nucleic acid detection assay,"2"
"43jQ.",Avian infl virus nucl acid det ... Avian influenza virus nucleic acid detection ... ,"2"
"43jQ0",Avian influenza virus NADA ... Avian influenza virus nucleic acid detection assay ... ,"2"
"43jx1",Parainfluenz 1 RNA dtctn assay ... Parainfluenza virus type 1 ribonucleic acid detection assay ... ,"2"
"43jy0",Parainfluenza type 2 NADA ... Parainfluenza type 2 nucleic acid detection assay ... ,"2"
"43w9.",Parainfl type 4 nuc acid detn ... Parainfluenza type 4 nucleic acid detection ... ,"2"
BB5S.,[M]Resp. tract adenoma/ca ... [M]Respiratory tract adenomas and adenocarcinomas ... ,"2"
"8I6D.",Influenza vaccin not indicated ... Influenza vaccination not indicated ... ,"2"
"8I6g.",Pandemic flu vacc not indicatd ... Pandemic influenza vaccination not indicated ... ,"2"
U144y,"[X]Inhalation food at OS place ... [X]Inhl+ingest food caus obst resp tract occ oth specif plce ... [X]Inhalation and ingestion of food causing obstruction of respiratory tract, occurrence at other specified place","2"
U145.,[X]Inhalation of object ... [X]Inhalation+ingestion oth obj causing obstruct resp tract ... [X]Inhalation and ingestion of other objects causing obstruction of respiratory tract,"2"
U1452,"[X]Inhalat of object pub inst ... [X]Inhl+ingst oth obj obs resp trct sch oth ins/pub adm area ... [X]Inhalation and ingestion of other objects causing obstruction of respiratory tract, occurrence at school, other institution and public administrative area","2"
U1456,"[X]Inhalat of object indus ar ... [X]Inhl+ingst oth obj caus obs resp tract indust/constr area ... [X]Inhalation and ingestion of other objects causing obstruction of respiratory tract, occurrence at industrial and construction area","2"
F370.,Acute infective polyneuritis ...  ... ,"2"
ZV14F,[V]PH influenza vaccin allergy ... [V]Personal history of influenza vaccine allergy ... ,"2"
YMIHN,H influenzae/cause/d cl/o c ... H influenzae as cause/diseases classified/other chapters ... Haemophilus influenzae [h influenzae as the cause of diseases classified to other chapters,"3"
y03td,Influenza (sub-unit) vac syrng ... Inact Influenza (surface antigen sub-unit) vaccine syringe ... Inactivated Influenza (surface antigen sub-unit ) vaccine prefilled syringe,"3"
YM3WB,Via respiratory tract ...  ... ,"3"
Yax3V,Education about influenza vacc ... Education about influenza vaccination ... ,"3"
YMAJ3,[X]Oth acute lowr resp infects ... [X]Other acute lower respiratory infections ... ,"3"
YMAJ6,[X]Oth dis/up respiratry tract ... [X]Other diseases of the upper respiratory tract ... ,"3"
YM97w,Influenza virus antigen ...  ... ,"3"
YMJxW,Pneumonia - candidal ...  ... ,"3"
YaVxP,Postproced obs respirat tract ... Postprocedural observation of respiratory tract ... ,"3"
Y10Gc,Tum low resp tr/intrathor orgs ... Tumour of lower respiratory tract and mediastinum ... ,"3"
YM8mh,Respiratory tract and mouth ...  ... ,"3"
y0GnL,Influenza vac (virosome) 0.5mL ... Inact Influenza vacc (surface antigen virosome) syrnge 0.5mL ... Inactivated Influenza vaccine (surface antigen virosome) prefilled syringe 0.5mL,"3"
Yal8N,Parainfluenza type 2 ab level ...  ... ,"3"
YapsI,D f en ex l re t la le l re tr ... Diag fibr end exam low resp tr and lav les low resp tract ... Diagnostic fibreoptic endoscopic examination of lower respiratory tract and lavage of lesion of lower respiratory tract,"3"
Y02Uy,Acute bacterial pharyngitis ...  ... ,"3"
YaSyP,Influenza vaccine allergy ...  ... ,"3"
Yaujs,Influenza A nucl acid detectn ... Influenza A nucleic acid detection ... ,"3"
YayXI,Admin scnd inact ssnl flu vacc ... Administration of second inactivated seasonal influenza vacc ... Administration of second inactivated seasonal influenza vaccination,"3"
Yayir,Flu due to zoonotic virus ... Influenza due to zoonotic influenza virus ... ,"3"
YMBNd,"[X]Inhalat of object res inst ... [X]Inhl+ingest oth obj caus obst resp tract occ resid instit ... [X]Inhalation and ingestion of other objects causing obstruction of respiratory tract, occurrence in residential institution","3"
YMBNl,"[X]Inhalat of object unsp plce ... [X]Inhal+ingest oth obj caus obst resp tract unspecif place ... [X]Inhalation and ingestion of other objects causing obstruction of respiratory tract, occurrence at unspecified place","3"
Ya14m,Inhl+ings food obst resp/sufoc ... Inhalat+ingest of food caus obstruct respir tract or suffoc ... Inhalation and ingestion of food causing obstruction of respiratory tract or suffocation,"3"
Y208Y,Acute infective pericarditis ...  ... ,"3"
Y208m,Acute pneumococc pericarditis ... Acute pneumococcal pericarditis ... ,"3"
YaSE6,Influenza vaccine poisoning ...  ... ,"3"
y017P,Inact Influenza vacc inj 0.5mL ... Inactivated Influenza vaccine injection 0.5mL ... ,"3"
y0GH7,Dip/tet/per/poli/hib vac 0.5mL ... Diptheria/tetanus/pertussis/polio/hib vaccine 0.5mL vial ... Diptheria / tetanus / pertussis / poliomyelitis / haemophilus influenzae b vaccine 0.5mL vial,"3"
YawSU,Sc intr pnd flu vc gvn oth hcp ... Scnd intrnsl pndmc flu vacc gvn by other healthcare provider ... Second intranasal pandemic influenza vaccination given by other healthcare provider,"3"
YatZz,Tele con susp inf A vr sb H1N1 ... Telephne consultatn suspected influenza A virus subtype H1N1 ... Telephone consultation for suspected influenza A virus subtype H1N1,"3"
Y02IQ,Acute non-infective otitis ext ... Acute non-infective otitis externa ... ,"3"
Yasa8,Pandemic flu vacc contraindicd ... Pandemic influenza vaccination contraindicated ... ,"3"
YavFa,Seasonal flu vaccinat declined ... Seasonal influenza vaccination declined ... ,"3"
YavFb,Seasonal flu vac contraindicat ... Seasonal influenza vaccination contraindicated ... ,"3"
YasaI,"1st pan flu vac othr hlth prov ... 1st pandemic influenza vacc give by other healthcare providr ... First pandemic influenza vaccination given by other healthcare provider","3"
YasaN,Pandemic flu vacc not indicatd ... Pandemic influenza vaccination not indicated ... ,"3"
Yal4i,Parainfluenza virus ab level ... Parainfluenza virus antibody level ... ,"3"
YM4Yd,Parainfluenza 3 antibody ...  ... ,"3"
Yakp6,Influenza vaccinat contraind ...  ... ,"3"
Ya4wJ,Upper respiratory tract infecn ... Upper respiratory tract infection ... ,"3"
Yavbu,Influenza vac invitation email ... Influenza vaccination invitation email ... ,"3"
Yavbw,Influenza vac invit 2nd email ... Influenza vaccination invitation second email ... ,"3"
Y7Iul,Tumour lower respiratory tract ... Tumour of lower respiratory tract ... ,"3"
YaSZw,Influenza vaccine adverse reac ... Influenza vaccine adverse reaction ... ,"3"
YaSZx,Influ split virion vac adv rea ... Influenza split virion vaccine adverse reaction ... ,"3"
y03H5,Haemophilus influenzae Type b ... Haemophilus influenzae Type b vaccine ... ,"3"
YE0SW,Upper respiratory tract infe++ ... Upper respiratory tract infection (& viral) NOS ... ,"3"
YMK6l,Pneumonia - H.influenzae ... Pneumonia due to haemophilus influenzae ... ,"3"
YauOv,Inf A vir H1N1 vac inv SMS snt ... Influenza A virus subtype H1N1 vac inv SMS text message sent ... Influenza A virus subtype H1N1 vaccination invitation short message service text message sent,"3"
YM70B,Genus: Parainfluenza virus grp ... Genus: Parainfluenza virus group ... ,"3"
YM70d,Genus: Influenza virus A and B ...  ... ,"3"
YM70e,Influenza virus B ...  ... ,"3"
YM70f,Influenza virus A ...  ... ,"3"
YM70g,Genus: Influenza virus C ...  ... ,"3"
YM70h,Influenza virus C ...  ... ,"3"
YadOr,"Second HiB DTP vaccine given ... Second H influenz type B and dip, tet & pertus vaccine given ... Second Haemophilus influenzae type B and diphtheria, tetanus and pertussis vaccine given","3"
YadOs,"Third HiB DTP vaccine given ... Third H influenzae type B and dip, tet & pert vaccine given ... Third Haemophilus influenzae type B and diphtheria, tetanus and pertussis vaccine given","3"
YadUO,Acute hepatitis - non-infectiv ... Acute hepatitis - non-infective ... ,"3"
Ya2AZ,Aspiration lowr respirat tract ... Aspiration into lower respiratory tract ... ,"3"
Ya2Ae,Aspira FB low respirat tract ... Aspirated foreign body of lower respiratory tract ... ,"3"
YaxfU,"2nd im flu vac by other HCP ... 2nd intramuscular seasonal influenza vacc given by other HCP ... Second intramuscular seasonal influenza vaccination given by other healthcare provider","3"
YawxQ,Parainfluenza type 4 NADA ... Parainfluenza type 4 nucleic acid detection assay ... ,"3"
YawwX,Influenza A NADA ... Influenza A nucleic acid detection assay ... ,"3"
Y7ATB,Influenza vacc. administratn. ...  ... ,"3"
Y7Gwj,[M]Resp. tract adenoma/ca ... [M]Respiratory tract adenomas and adenocarcinomas ... ,"3"
Y7Gwk,[M]Resp. tract adenoma/ca NOS ... [M]Respiratory tract adenoma or adenocarcinoma NOS ... ,"3"
y0HAu,HIB+MENINGITIS C vac inj+solv ... HAEMOPHILUS INFLUENZAE type b+MENINGITIS C vaccine inj+solv ... HAEMOPHILUS INFLUENZAE type b + MENINGITIS group C conjugate vaccine injection(pdr for recon)+solvent,"3"
Y7A3M,No consent - influenza imm. ...  ... ,"3"
YMAIo,[X]O ac up resp inf/multi site ... [X]Other acute upper respiratory infections/multiple sites ... [X]Other acute upper respiratory infections of multiple sites,"3"
YMAIq,"[X]Flu+o manifst,flu vir idntf ... [X]Influenza+other manifestations,influenza virus identified ... [X]Influenza with other manifestations, influenza virus identified","3"
YMAIs,"[X]Flu+o maniftns,vir nt idntf ... [X]Influenza with other manifestations, virus not identified ... ","3"
YMAJ4,[X]Ac bronchitis/o spcf orgnsm ... [X]Acute bronchitis due to other specified organisms ... ,"3"
